ID,Comentário,Origem,Data do Comentário,Número de Likes,Resposta da Empresa,Tempo de Resposta (horas)
1,"O site apresentou erros durante a compra, tive que tentar várias vezes.",Trustpilot,2023-01-01,442,Não,
2,A encomenda demorou muito mais do que o prometido.,Trustpilot,2023-01-02,128,Não,
3,"O site é muito intuitivo e fácil de usar, facilitou bastante a compra.",Trustpilot,2023-01-03,10,Sim,3.0
4,Fiz uma reclamação e não obtive resposta até hoje.,Site Oficial,2023-01-04,128,Sim,20.0
5,O atendimento ao cliente é muito lento e pouco prestável.,Facebook,2023-01-05,87,Sim,17.0
6,"Estou muito contente com o serviço prestado, foi tudo perfeito.",Facebook,2023-01-06,84,Não,
7,Fiz uma reclamação e não obtive resposta até hoje.,Google Reviews,2023-01-07,499,Não,
8,"Adorei a experiência, desde a compra até a entrega.",Google Reviews,2023-01-08,242,Sim,8.0
9,A qualidade do produto não corresponde ao que foi anunciado.,Trustpilot,2023-01-09,119,Sim,72.0
10,Péssimo serviço! Esperei mais de uma hora para ser atendido.,Twitter,2023-01-10,223,Não,
11,"Muito satisfeito com a compra, recomendo a todos.",Site Oficial,2023-01-11,298,Não,
12,"Muito satisfeito com a compra, recomendo a todos.",Facebook,2023-01-12,116,Sim,6.0
13,"Excelente comunicação, recebi atualizações constantes sobre a encomenda.",Site Oficial,2023-01-13,207,Sim,34.0
14,A encomenda chegou dentro do prazo e o produto era exatamente como esperado.,Site Oficial,2023-01-14,322,Sim,1.0
15,O produto veio com defeito e não me deram solução.,Twitter,2023-01-15,482,Não,
16,"Nunca mais compro aqui, experiência horrível!",Twitter,2023-01-16,327,Sim,48.0
17,"Entrega rápida e eficiente, voltarei a comprar.",Google Reviews,2023-01-17,8,Sim,1.0
18,A encomenda chegou dentro do prazo e o produto era exatamente como esperado.,Twitter,2023-01-18,400,Sim,38.0
19,"O site é muito intuitivo e fácil de usar, facilitou bastante a compra.",Site Oficial,2023-01-19,171,Não,
20,A encomenda demorou muito mais do que o prometido.,Twitter,2023-01-20,221,Não,
21,"O site apresentou erros durante a compra, tive que tentar várias vezes.",Site Oficial,2023-01-21,296,Não,
22,Péssimo serviço! Esperei mais de uma hora para ser atendido.,Facebook,2023-01-22,202,Sim,45.0
23,"O suporte não resolveu o meu problema, só me fizeram perder tempo.",Facebook,2023-01-23,375,Não,
